DATE,IPMAN
1972-01-01,36.2115333333333333
1972-04-01,36.9590000000000000
1972-07-01,37.4665000000000000
1972-10-01,38.8909333333333333
1973-01-01,40.1812666666666667
1973-04-01,40.5613000000000000
1973-07-01,40.8831333333333333
1973-10-01,41.6704666666666667
1974-01-01,41.2991000000000000
1974-04-01,41.2460333333333333
1974-07-01,41.1035666666666667
1974-10-01,39.2767000000000000
1975-01-01,35.9928333333333333
1975-04-01,35.3762666666666667
1975-07-01,36.5348333333333333
1975-10-01,37.5162000000000000
1976-01-01,38.8025666666666667
1976-04-01,39.4422000000000000
1976-07-01,40.0169000000000000
1976-10-01,40.6167666666666667
1977-01-01,41.6578666666666667
1977-04-01,43.1144000000000000
1977-07-01,43.6456000000000000
1977-10-01,44.0655333333333333
1978-01-01,44.1169666666666667
1978-04-01,45.6591000000000000
1978-07-01,46.1806666666666667
1978-10-01,47.1561666666666667
1979-01-01,47.3595000000000000
1979-04-01,47.2093000000000000
1979-07-01,47.0985333333333333
1979-10-01,47.1059666666666667
1980-01-01,47.2139000000000000
1980-04-01,44.7581333333333333
1980-07-01,43.7653333333333333
1980-10-01,45.8216333333333333
1981-01-01,45.9199666666666667
1981-04-01,46.2625666666666667
1981-07-01,46.2087000000000000
1981-10-01,44.9344666666666667
1982-01-01,43.8212333333333333
1982-04-01,43.6199666666666667
1982-07-01,43.1987333333333333
1982-10-01,42.2262000000000000
1983-01-01,43.1714666666666667
1983-04-01,44.4613666666666667
1983-07-01,46.1139333333333333
1983-10-01,47.5338333333333333
1984-01-01,49.0213000000000000
1984-04-01,49.7622000000000000
1984-07-01,50.1697333333333333
1984-10-01,50.4732000000000000
1985-01-01,50.4648333333333333
1985-04-01,50.5444666666666667
1985-07-01,50.5603666666666667
1985-10-01,50.8755333333333333
1986-01-01,51.4861666666666667
1986-04-01,51.3873000000000000
1986-07-01,51.6957333333333333
1986-10-01,52.3360000000000000
1987-01-01,53.0796333333333333
1987-04-01,54.0034333333333333
1987-07-01,55.0188333333333333
1987-10-01,56.5694000000000000
1988-01-01,56.9821333333333333
1988-04-01,57.6632333333333333
1988-07-01,57.8113333333333333
1988-10-01,58.4534000000000000
1989-01-01,58.7935000000000000
1989-04-01,58.3606000000000000
1989-07-01,57.9084666666666667
1989-10-01,57.9583666666666667
1990-01-01,58.6166333333333333
1990-04-01,59.0489000000000000
1990-07-01,59.2256333333333333
1990-10-01,58.2260333333333333
1991-01-01,56.9028666666666667
1991-04-01,57.2036333333333333
1991-07-01,58.2773000000000000
1991-10-01,58.5190000000000000
1992-01-01,58.6605666666666667
1992-04-01,59.9100333333333333
1992-07-01,60.5736666666666667
1992-10-01,61.0742666666666667
1993-01-01,61.7472333333333333
1993-04-01,61.9649333333333333
1993-07-01,62.1243666666666667
1993-10-01,63.2744666666666667
1994-01-01,64.0829000000000000
1994-04-01,65.6432000000000000
1994-07-01,66.6853333333333333
1994-10-01,68.3510000000000000
1995-01-01,69.1159000000000000
1995-04-01,69.2545000000000000
1995-07-01,69.8676333333333333
1995-10-01,70.6603333333333333
1996-01-01,71.0771666666666667
1996-04-01,72.8306666666666667
1996-07-01,74.2496000000000000
1996-10-01,75.3015666666666667
1997-01-01,76.9763000000000000
1997-04-01,78.2861333333333333
1997-07-01,80.2942333333333333
1997-10-01,82.5652000000000000
1998-01-01,83.8550666666666667
1998-04-01,84.2310333333333333
1998-07-01,84.9112333333333333
1998-10-01,86.5595666666666667
1999-01-01,87.7102333333333333
1999-04-01,88.7250000000000000
1999-07-01,89.4354666666666667
1999-10-01,91.3042666666666667
2000-01-01,92.4007000000000000
2000-04-01,93.6217000000000000
2000-07-01,93.5898666666666667
2000-10-01,93.0697666666666667
2001-01-01,91.8461666666666667
2001-04-01,90.5864000000000000
2001-07-01,89.1501000000000000
2001-10-01,88.2671000000000000
2002-01-01,89.1684666666666667
2002-04-01,90.5909666666666667
2002-07-01,91.3581000000000000
2002-10-01,91.2661666666666667
2003-01-01,91.7551000000000000
2003-04-01,91.3233000000000000
2003-07-01,92.0200666666666667
2003-10-01,93.0768333333333333
2004-01-01,93.6907000000000000
2004-04-01,94.4323333333333333
2004-07-01,95.3278333333333333
2004-10-01,96.7895666666666667
2005-01-01,98.3688666666666667
2005-04-01,99.0248333333333333
2005-07-01,98.9146666666666667
2005-10-01,100.4821000000000000
2006-01-01,101.4516333333333333
2006-04-01,101.6441333333333333
2006-07-01,102.1057333333333333
2006-10-01,102.5857333333333333
2007-01-01,103.8630000000000000
2007-04-01,105.3785000000000000
2007-07-01,105.6191666666666667
2007-10-01,106.1018666666666667
2008-01-01,105.5421666666666667
2008-04-01,103.2931000000000000
2008-07-01,99.4120666666666667
2008-10-01,93.3884666666666667
2009-01-01,86.9939333333333333
2009-04-01,84.7841333333333333
2009-07-01,86.8084333333333333
2009-10-01,88.3392666666666667
2010-01-01,89.9676000000000000
2010-04-01,92.4077333333333333
2010-07-01,93.4778333333333333
2010-10-01,93.9062666666666667
2011-01-01,94.7116000000000000
2011-04-01,94.6829000000000000
2011-07-01,95.6769333333333333
2011-10-01,96.6215333333333333
2012-01-01,98.0126333333333333
2012-04-01,98.2674666666666667
2012-07-01,98.0883000000000000
2012-10-01,98.3995333333333333
2013-01-01,99.1592000000000000
2013-04-01,99.2033333333333333
2013-07-01,99.1688666666666667
2013-10-01,99.6112333333333333
2014-01-01,99.3352000000000000
2014-04-01,100.5421000000000000
2014-07-01,100.9770333333333333
2014-10-01,101.1778000000000000
2015-01-01,100.2985333333333333
2015-04-01,100.1038666666666667
2015-07-01,100.2911666666666667
2015-10-01,99.6138000000000000
2016-01-01,99.5100000000000000
2016-04-01,99.2307666666666667
2016-07-01,99.2658333333333333
2016-10-01,99.4036666666666667
2017-01-01,99.4225666666666667
2017-04-01,100.2077333333333333
2017-07-01,99.6805333333333333
2017-10-01,100.6891666666666667
2018-01-01,100.8104666666666667
2018-04-01,101.4882000000000000
2018-07-01,101.9121000000000000
2018-10-01,101.4834666666666667
2019-01-01,100.3114333333333333
2019-04-01,99.4964333333333333
2019-07-01,99.3425333333333333
2019-10-01,98.8212333333333333
2020-01-01,97.5507000000000000
2020-04-01,84.4847666666666667
2020-07-01,94.0808000000000000
2020-10-01,95.8215666666666667
2021-01-01,95.8117333333333333
2021-04-01,97.3169333333333333
2021-07-01,98.1478333333333333
2021-10-01,99.3374666666666667
2022-01-01,100.1002333333333333
2022-04-01,100.8405333333333333
2022-07-01,100.9391333333333333
2022-10-01,100.0070666666666667
2023-01-01,99.9021000000000000
2023-04-01,100.1443333333333333
2023-07-01,100.1293666666666667
