DATE,W823RC1
1959-01-01,9.7333333333333333
1959-04-01,10.0333333333333333
1959-07-01,10.3333333333333333
1959-10-01,10.6333333333333333
1960-01-01,10.7666666666666667
1960-04-01,11.0000000000000000
1960-07-01,11.2333333333333333
1960-10-01,11.5333333333333333
1961-01-01,11.9666666666666667
1961-04-01,12.3666666666666667
1961-07-01,12.8000000000000000
1961-10-01,13.4000000000000000
1962-01-01,13.8000000000000000
1962-04-01,14.1666666666666667
1962-07-01,14.5000000000000000
1962-10-01,14.8333333333333333
1963-01-01,14.9333333333333333
1963-04-01,15.1666666666666667
1963-07-01,15.4000000000000000
1963-10-01,15.5000000000000000
1964-01-01,15.7000000000000000
1964-04-01,15.9000000000000000
1964-07-01,16.1666666666666667
1964-10-01,16.2666666666666667
1965-01-01,16.5000000000000000
1965-04-01,16.6666666666666667
1965-07-01,20.1333333333333333
1965-10-01,18.9333333333333333
1966-01-01,19.3000000000000000
1966-04-01,19.7333333333333333
1966-07-01,19.9333333333333333
1966-10-01,20.2000000000000000
1967-01-01,20.6666666666666667
1967-04-01,21.0666666666666667
1967-07-01,21.2666666666666667
1967-10-01,21.5000000000000000
1968-01-01,22.5333333333333333
1968-04-01,24.8333333333333333
1968-07-01,25.4000000000000000
1968-10-01,25.6333333333333333
1969-01-01,25.9333333333333333
1969-04-01,26.2666666666666667
1969-07-01,26.5666666666666667
1969-10-01,26.7333333333333333
1970-01-01,27.1000000000000000
1970-04-01,34.1666666666666667
1970-07-01,31.9333333333333333
1970-10-01,32.3000000000000000
1971-01-01,32.8000000000000000
1971-04-01,38.7000000000000000
1971-07-01,37.2000000000000000
1971-10-01,37.7333333333333333
1972-01-01,38.3000000000000000
1972-04-01,38.7333333333333333
1972-07-01,39.3000000000000000
1972-10-01,47.4666666666666667
1973-01-01,49.0666666666666667
1973-04-01,50.3333333333333333
1973-07-01,51.2000000000000000
1973-10-01,52.0000000000000000
1974-01-01,52.4666666666666667
1974-04-01,56.9333333333333333
1974-07-01,59.8333333333333333
1974-10-01,61.2333333333333333
1975-01-01,62.0000000000000000
1975-04-01,62.9000000000000000
1975-07-01,69.0000000000000000
1975-10-01,69.6666666666666667
1976-01-01,70.9666666666666667
1976-04-01,71.4333333333333333
1976-07-01,77.0000000000000000
1976-10-01,78.6333333333333333
1977-01-01,79.2000000000000000
1977-04-01,80.3666666666666667
1977-07-01,86.2666666666666667
1977-10-01,87.1000000000000000
1978-01-01,87.8000000000000000
1978-04-01,87.9000000000000000
1978-07-01,94.2666666666666667
1978-10-01,95.5666666666666667
1979-01-01,96.5333333333333333
1979-04-01,97.8666666666666667
1979-07-01,107.6000000000000000
1979-10-01,108.3333333333333333
1980-01-01,109.3333333333333333
1980-04-01,109.9666666666666667
1980-07-01,126.9333333333333333
1980-10-01,128.0666666666666667
1981-01-01,130.7333333333333333
1981-04-01,131.1333333333333333
1981-07-01,146.3000000000000000
1981-10-01,146.4666666666666667
1982-01-01,146.7666666666666667
1982-04-01,147.5333333333333333
1982-07-01,157.6333333333333333
1982-10-01,162.9000000000000000
1983-01-01,162.1333333333333333
1983-04-01,164.0333333333333333
1983-07-01,163.9666666666666667
1983-10-01,167.6000000000000000
1984-01-01,170.9333333333333333
1984-04-01,172.6666666666666667
1984-07-01,172.4333333333333333
1984-10-01,176.0666666666666667
1985-01-01,181.5333333333333333
1985-04-01,181.9666666666666667
1985-07-01,185.2666666666666667
1985-10-01,184.3333333333333333
1986-01-01,191.0666666666666667
1986-04-01,192.1000000000000000
1986-07-01,195.8666666666666667
1986-10-01,195.4333333333333333
1987-01-01,198.9000000000000000
1987-04-01,201.6333333333333333
1987-07-01,201.4000000000000000
1987-10-01,201.9666666666666667
1988-01-01,213.4666666666666667
1988-04-01,213.5000000000000000
1988-07-01,214.1333333333333333
1988-10-01,214.4666666666666667
1989-01-01,225.9000000000000000
1989-04-01,226.7666666666666667
1989-07-01,227.8000000000000000
1989-10-01,229.0333333333333333
1990-01-01,241.0333333333333333
1990-04-01,243.8000000000000000
1990-07-01,244.7333333333333333
1990-10-01,247.0000000000000000
1991-01-01,261.3000000000000000
1991-04-01,263.6666666666666667
1991-07-01,265.0666666666666667
1991-10-01,266.8333333333333333
1992-01-01,278.5666666666666667
1992-04-01,281.7333333333333333
1992-07-01,282.8333333333333333
1992-10-01,283.9333333333333333
1993-01-01,295.5666666666666667
1993-04-01,297.0666666666666667
1993-07-01,298.5666666666666667
1993-10-01,300.5666666666666667
1994-01-01,308.8333333333333333
1994-04-01,311.7666666666666667
1994-07-01,312.9666666666666667
1994-10-01,315.1000000000000000
1995-01-01,324.7666666666666667
1995-04-01,327.5333333333333333
1995-07-01,328.6333333333333333
1995-10-01,329.7666666666666667
1996-01-01,339.1000000000000000
1996-04-01,341.4000000000000000
1996-07-01,342.6333333333333333
1996-10-01,344.8666666666666667
1997-01-01,353.9000000000000000
1997-04-01,355.8666666666666667
1997-07-01,357.5333333333333333
1997-10-01,359.0666666666666667
1998-01-01,366.6333333333333333
1998-04-01,368.2000000000000000
1998-07-01,370.7000000000000000
1998-10-01,371.2000000000000000
1999-01-01,376.9666666666666667
1999-04-01,378.9666666666666667
1999-07-01,380.8000000000000000
1999-10-01,382.7666666666666667
2000-01-01,392.5000000000000000
2000-04-01,404.6666666666666667
2000-07-01,403.8666666666666667
2000-10-01,404.5333333333333333
2001-01-01,420.8000000000000000
2001-04-01,422.7000000000000000
2001-07-01,428.3666666666666667
2001-10-01,428.4666666666666667
2002-01-01,442.8666666666666667
2002-04-01,445.5000000000000000
2002-07-01,448.0666666666666667
2002-10-01,451.2000000000000000
2003-01-01,458.1333333333333333
2003-04-01,463.1000000000000000
2003-07-01,464.8000000000000000
2003-10-01,468.1666666666666667
2004-01-01,479.6666666666666667
2004-04-01,484.8000000000000000
2004-07-01,486.1666666666666667
2004-10-01,491.4000000000000000
2005-01-01,506.5000000000000000
2005-04-01,512.8666666666666667
2005-07-01,514.0666666666666667
2005-10-01,517.5000000000000000
2006-01-01,538.0333333333333333
2006-04-01,543.6333333333333333
2006-07-01,546.1000000000000000
2006-10-01,548.6000000000000000
2007-01-01,568.3000000000000000
2007-04-01,575.0333333333333333
2007-07-01,578.2333333333333333
2007-10-01,581.1000000000000000
2008-01-01,597.3333333333333333
2008-04-01,602.8666666666666667
2008-07-01,608.8666666666666667
2008-10-01,613.1000000000000000
2009-01-01,651.8666666666666667
2009-04-01,662.4333333333333333
2009-07-01,667.9333333333333333
2009-10-01,675.6666666666666667
2010-01-01,678.8333333333333333
2010-04-01,689.2666666666666667
2010-07-01,693.6000000000000000
2010-10-01,699.0000000000000000
2011-01-01,703.1333333333333333
2011-04-01,712.0333333333333333
2011-07-01,716.0000000000000000
2011-10-01,721.8333333333333333
2012-01-01,753.2333333333333333
2012-04-01,759.4000000000000000
2012-07-01,765.1333333333333333
2012-10-01,770.8333333333333333
2013-01-01,790.0000000000000000
2013-04-01,795.2000000000000000
2013-07-01,802.3000000000000000
2013-10-01,808.6333333333333333
2014-01-01,824.8333333333333333
2014-04-01,831.6666666666666667
2014-07-01,836.4666666666666667
2014-10-01,845.5666666666666667
2015-01-01,861.8333333333333333
2015-04-01,868.5000000000000000
2015-07-01,873.9333333333333333
2015-10-01,882.9000000000000000
2016-01-01,886.0666666666666667
2016-04-01,893.2000000000000000
2016-07-01,899.4000000000000000
2016-10-01,907.2333333333333333
2017-01-01,916.3333333333333333
2017-04-01,922.0000000000000000
2017-07-01,929.3000000000000000
2017-10-01,936.6666666666666667
2018-01-01,960.6333333333333333
2018-04-01,968.3333333333333333
2018-07-01,976.8333333333333333
2018-10-01,983.8666666666666667
2019-01-01,1019.1666666666666667
2019-04-01,1026.7333333333333333
2019-07-01,1034.3666666666666667
2019-10-01,1042.7000000000000000
2020-01-01,1068.2000000000000000
2020-04-01,1075.1000000000000000
2020-07-01,1080.2666666666666667
2020-10-01,1088.1666666666666667
2021-01-01,1105.6666666666666667
2021-04-01,1109.6333333333333333
2021-07-01,1116.8666666666666667
2021-10-01,1126.2666666666666667
2022-01-01,1198.7000000000000000
2022-04-01,1207.0333333333333333
2022-07-01,1214.4333333333333333
2022-10-01,1225.8666666666666667
2023-01-01,1340.0000000000000000
2023-04-01,1353.7666666666666667
2023-07-01,1361.3666666666666667
