,DATE,CIVPART,CPIAUCSL,FEDFUNDS,GDPC1,IPMAN,UNRATE,M2V,W823RC1
0,1972-01-01,60.3,41.33333333333333,3.546666666666667,5632.649,36.21153333333333,5.766666666666667,1.696,38.3
1,1972-04-01,60.4,41.6,4.3,5760.47,36.959,5.7,1.703,38.73333333333333
2,1972-07-01,60.46666666666666,41.93333333333333,4.743333333333333,5814.854,37.4665,5.566666666666666,1.679,39.3
3,1972-10-01,60.36666666666667,42.36666666666667,5.1466666666666665,5912.22,38.89093333333333,5.366666666666666,1.673,47.46666666666666
4,1973-01-01,60.43333333333333,43.03333333333333,6.536666666666666,6058.544,40.181266666666666,4.933333333333333,1.694,49.06666666666666
5,1973-04-01,60.766666666666666,43.93333333333333,7.8166666666666655,6124.506,40.5613,4.933333333333333,1.71,50.33333333333333
6,1973-07-01,60.8,44.8,10.56,6092.301,40.883133333333326,4.8,1.711,51.2
7,1973-10-01,61.1,45.93333333333333,9.996666666666666,6150.131,41.67046666666666,4.766666666666667,1.739,52.0
8,1974-01-01,61.33333333333333,47.3,9.32333333333333,6097.258,41.2991,5.133333333333333,1.725,52.46666666666666
9,1974-04-01,61.166666666666664,48.56666666666666,11.25,6111.751,41.24603333333333,5.2,1.748,56.93333333333333
10,1974-07-01,61.33333333333333,49.93333333333333,12.09,6053.978,41.103566666666666,5.633333333333333,1.764,59.83333333333333
11,1974-10-01,61.266666666666666,51.46666666666666,9.346666666666666,6030.464,39.2767,6.6,1.781,61.23333333333333
12,1975-01-01,61.2,52.56666666666666,6.303333333333333,5957.035,35.99283333333333,8.266666666666666,1.766,62.0
13,1975-04-01,61.33333333333333,53.2,5.42,5999.61,35.376266666666666,8.866666666666665,1.741,62.9
14,1975-07-01,61.266666666666666,54.266666666666666,6.16,6102.326,36.53483333333333,8.466666666666665,1.739,69.0
15,1975-10-01,61.133333333333326,55.266666666666666,5.413333333333333,6184.53,37.5162,8.3,1.75,69.66666666666666
16,1976-01-01,61.3,55.9,4.826666666666666,6323.649,38.802566666666664,7.7333333333333325,1.752,70.96666666666667
17,1976-04-01,61.53333333333333,56.4,5.196666666666666,6370.025,39.4422,7.5666666666666655,1.731,71.43333333333332
18,1976-07-01,61.73333333333333,57.3,5.283333333333333,6404.895,40.0169,7.7333333333333325,1.717,77.0
19,1976-10-01,61.766666666666666,58.133333333333326,4.873333333333333,6451.177,40.61676666666666,7.766666666666666,1.699,78.63333333333333
20,1977-01-01,61.83333333333333,59.2,4.66,6527.703,41.65786666666666,7.5,1.689,79.2
21,1977-04-01,62.23333333333333,60.23333333333333,5.156666666666666,6654.466,43.1144,7.133333333333333,1.701,80.36666666666666
22,1977-07-01,62.23333333333333,61.06666666666666,5.82,6774.457,43.6456,6.9,1.713,86.26666666666665
23,1977-10-01,62.633333333333326,61.96666666666666,6.513333333333333,6774.592,44.06553333333333,6.666666666666666,1.715,87.1
24,1978-01-01,62.766666666666666,63.03333333333333,6.756666666666667,6796.26,44.11696666666666,6.333333333333333,1.713,87.8
25,1978-04-01,63.133333333333326,64.46666666666667,7.283333333333333,7058.92,45.6591,6.0,1.78,87.9
26,1978-07-01,63.23333333333333,65.96666666666667,8.1,7129.915,46.18066666666667,6.033333333333333,1.795,94.26666666666665
27,1978-10-01,63.46666666666666,67.5,9.58333333333333,7225.75,47.156166666666664,5.9,1.822,95.56666666666666
28,1979-01-01,63.73333333333333,69.2,10.073333333333332,7238.727,47.3595,5.866666666666666,1.832,96.53333333333332
29,1979-04-01,63.43333333333333,71.4,10.18,7246.454,47.2093,5.7,1.835,97.86666666666666
30,1979-07-01,63.666666666666664,73.7,10.946666666666665,7300.281,47.09853333333333,5.866666666666666,1.846,107.6
31,1979-10-01,63.766666666666666,76.03333333333333,13.576666666666666,7318.535,47.10596666666667,5.966666666666667,1.857,108.33333333333331
32,1980-01-01,63.9,79.03333333333333,15.046666666666667,7341.557,47.2139,6.3,1.869,109.33333333333331
33,1980-04-01,63.8,81.7,12.686666666666666,7190.289,44.758133333333326,7.333333333333333,1.847,109.96666666666665
34,1980-07-01,63.7,83.23333333333333,9.836666666666666,7181.743,43.76533333333333,7.666666666666665,1.831,126.93333333333332
35,1980-10-01,63.7,85.56666666666666,15.853333333333332,7315.677,45.82163333333333,7.4,1.874,128.06666666666666
36,1981-01-01,63.96666666666666,87.93333333333332,16.57,7459.022,45.91996666666667,7.433333333333333,1.928,130.73333333333332
37,1981-04-01,64.06666666666666,89.76666666666665,17.78,7403.745,46.262566666666665,7.4,1.9,131.13333333333333
38,1981-07-01,63.7,92.26666666666665,17.576666666666664,7492.405,46.2087,7.4,1.925,146.3
39,1981-10-01,63.766666666666666,93.76666666666665,13.586666666666666,7410.768,44.934466666666665,8.233333333333333,1.888,146.46666666666667
40,1982-01-01,63.766666666666666,94.6,14.226666666666667,7295.631,43.821233333333325,8.833333333333332,1.842,146.76666666666665
41,1982-04-01,64.0,95.96666666666665,14.513333333333332,7328.912,43.61996666666666,9.433333333333332,1.836,147.53333333333333
42,1982-07-01,64.06666666666666,97.63333333333331,11.006666666666666,7300.896,43.19873333333333,9.9,1.825,157.63333333333333
43,1982-10-01,64.13333333333333,97.93333333333331,9.286666666666665,7303.817,42.2262,10.666666666666666,1.804,162.9
44,1983-01-01,63.8,98.0,8.653333333333332,7400.066,43.17146666666667,10.366666666666665,1.745,162.13333333333333
45,1983-04-01,63.93333333333333,99.13333333333331,8.803333333333333,7568.456,44.46136666666666,10.133333333333333,1.753,164.03333333333333
46,1983-07-01,64.23333333333333,100.1,9.46,7719.746,46.11393333333333,9.366666666666665,1.779,163.96666666666667
47,1983-10-01,64.06666666666666,101.1,9.43,7880.794,47.53383333333333,8.533333333333333,1.797,167.6
48,1984-01-01,64.03333333333333,102.53333333333332,9.686666666666666,8034.847,49.0213,7.866666666666665,1.812,170.9333333333333
49,1984-04-01,64.46666666666667,103.5,10.556666666666667,8173.67,49.7622,7.433333333333333,1.82,172.66666666666666
50,1984-07-01,64.46666666666667,104.4,11.39,8252.465,50.169733333333326,7.433333333333333,1.829,172.4333333333333
51,1984-10-01,64.5,105.3,9.266666666666666,8320.199,50.4732,7.3,1.818,176.06666666666666
52,1985-01-01,64.76666666666667,106.26666666666667,8.476666666666665,8400.82,50.46483333333333,7.2333333333333325,1.799,181.53333333333333
53,1985-04-01,64.76666666666667,107.23333333333332,7.923333333333333,8474.787,50.544466666666665,7.3,1.795,181.96666666666664
54,1985-07-01,64.73333333333333,107.9,7.9,8604.22,50.56036666666667,7.2,1.795,185.26666666666665
55,1985-10-01,64.96666666666667,109.0,8.103333333333333,8668.188,50.87553333333333,7.033333333333333,1.792,184.33333333333331
56,1986-01-01,65.0,109.56666666666666,7.826666666666665,8749.127,51.48616666666666,7.033333333333333,1.792,191.06666666666663
57,1986-04-01,65.23333333333333,109.03333333333332,6.92,8788.524,51.3873,7.166666666666666,1.76,192.1
58,1986-07-01,65.36666666666666,109.7,6.206666666666666,8872.601,51.69573333333333,6.966666666666667,1.741,195.86666666666665
59,1986-10-01,65.36666666666666,110.46666666666665,6.266666666666667,8920.193,52.336,6.833333333333333,1.721,195.4333333333333
60,1987-01-01,65.46666666666667,111.8,6.22,8986.367,53.07963333333333,6.6,1.718,198.9
61,1987-04-01,65.53333333333333,113.06666666666666,6.65,9083.256,54.00343333333333,6.266666666666667,1.734,201.63333333333333
62,1987-07-01,65.6,114.26666666666667,6.843333333333333,9162.024,55.018833333333326,6.0,1.751,201.4
63,1987-10-01,65.7,115.33333333333331,6.916666666666666,9319.332,56.5694,5.833333333333333,1.776,201.96666666666664
64,1988-01-01,65.8,116.23333333333332,6.663333333333333,9367.502,56.98213333333333,5.7,1.768,213.46666666666664
65,1988-04-01,65.76666666666667,117.56666666666666,7.156666666666666,9490.594,57.66323333333333,5.466666666666667,1.774,213.5
66,1988-07-01,65.96666666666667,119.0,7.9833333333333325,9546.206,57.81133333333333,5.466666666666667,1.79,214.13333333333333
67,1988-10-01,66.1,120.3,8.47,9673.405,58.4534,5.333333333333333,1.813,214.46666666666664
68,1989-01-01,66.36666666666666,121.66666666666666,9.443333333333332,9771.725,58.7935,5.2,1.84,225.9
69,1989-04-01,66.4,123.63333333333333,9.726666666666665,9846.293,58.3606,5.2333333333333325,1.861,226.76666666666665
70,1989-07-01,66.46666666666667,124.6,9.08333333333333,9919.228,57.90846666666666,5.2333333333333325,1.853,227.8
71,1989-10-01,66.53333333333333,125.86666666666666,8.613333333333333,9938.767,57.95836666666666,5.366666666666666,1.834,229.03333333333333
72,1990-01-01,66.73333333333333,128.03333333333333,8.25,10047.386,58.616633333333326,5.3,1.848,241.03333333333333
73,1990-04-01,66.53333333333333,129.3,8.243333333333332,10083.855,59.0489,5.333333333333333,1.859,243.8
74,1990-07-01,66.46666666666667,131.53333333333333,8.16,10090.569,59.22563333333333,5.7,1.856,244.73333333333332
75,1990-10-01,66.4,133.76666666666665,7.743333333333333,9998.704,58.226033333333326,6.133333333333333,1.839,247.0
76,1991-01-01,66.23333333333333,134.76666666666665,6.426666666666667,9951.916,56.90286666666666,6.6,1.826,261.3
77,1991-04-01,66.26666666666667,135.56666666666666,5.863333333333332,10029.51,57.20363333333333,6.833333333333333,1.833,263.66666666666663
78,1991-07-01,66.1,136.6,5.643333333333333,10080.195,58.2773,6.866666666666666,1.85,265.06666666666666
79,1991-10-01,66.06666666666666,137.73333333333332,4.816666666666666,10115.329,58.519,7.1,1.861,266.8333333333333
80,1992-01-01,66.3,138.66666666666666,4.0233333333333325,10236.435,58.66056666666666,7.366666666666665,1.874,278.56666666666666
81,1992-04-01,66.6,139.73333333333332,3.77,10347.429,59.91003333333333,7.6,1.905,281.7333333333333
82,1992-07-01,66.6,140.8,3.256666666666667,10449.673,60.57366666666666,7.633333333333333,1.931,282.8333333333333
83,1992-10-01,66.26666666666667,142.03333333333333,3.0366666666666666,10558.648,61.07426666666667,7.366666666666665,1.951,283.93333333333334
84,1993-01-01,66.2,143.06666666666666,3.04,10576.275,61.74723333333333,7.133333333333333,1.971,295.56666666666666
85,1993-04-01,66.33333333333333,144.1,3.0,10637.847,61.96493333333333,7.066666666666666,1.985,297.06666666666666
86,1993-07-01,66.33333333333333,144.76666666666665,3.06,10688.606,62.12436666666667,6.8,1.997,298.56666666666666
87,1993-10-01,66.33333333333333,145.96666666666667,2.99,10833.987,63.27446666666666,6.633333333333333,2.023,300.56666666666666
88,1994-01-01,66.56666666666666,146.7,3.2133333333333334,10939.116,64.0829,6.566666666666666,2.047,308.8333333333333
89,1994-04-01,66.5,147.53333333333333,3.94,11087.361,65.6432,6.2,2.08,311.76666666666665
90,1994-07-01,66.53333333333333,148.9,4.486666666666666,11152.176,66.68533333333333,6.0,2.103,312.96666666666664
91,1994-10-01,66.7,149.76666666666665,5.166666666666666,11279.932,68.351,5.633333333333333,2.139,315.1
92,1995-01-01,66.76666666666667,150.86666666666665,5.81,11319.951,69.1159,5.466666666666667,2.155,324.76666666666665
93,1995-04-01,66.63333333333333,152.1,6.02,11353.721,69.2545,5.666666666666666,2.151,327.5333333333333
94,1995-07-01,66.6,152.86666666666665,5.796666666666666,11450.31,69.86763333333333,5.666666666666666,2.142,328.6333333333333
95,1995-10-01,66.5,153.7,5.72,11528.067,70.66033333333333,5.566666666666666,2.147,329.76666666666665
96,1996-01-01,66.53333333333333,155.06666666666666,5.363333333333332,11614.418,71.07716666666667,5.533333333333333,2.147,339.1
97,1996-04-01,66.7,156.4,5.243333333333333,11808.14,72.83066666666666,5.5,2.165,341.4
98,1996-07-01,66.83333333333333,157.3,5.306666666666667,11914.063,74.2496,5.266666666666667,2.171,342.6333333333333
99,1996-10-01,67.0,158.66666666666666,5.28,12037.775,75.30156666666666,5.333333333333333,2.176,344.8666666666666
100,1997-01-01,67.0,159.63333333333333,5.276666666666666,12115.472,76.9763,5.2333333333333325,2.174,353.9
101,1997-04-01,67.1,160.0,5.5233333333333325,12317.221,78.28613333333332,5.0,2.19,355.8666666666666
102,1997-07-01,67.16666666666666,160.8,5.533333333333333,12471.01,80.29423333333332,4.866666666666666,2.192,357.5333333333333
103,1997-10-01,67.16666666666666,161.66666666666666,5.506666666666667,12577.495,82.5652,4.666666666666666,2.184,359.06666666666666
104,1998-01-01,67.1,162.0,5.52,12703.742,83.85506666666666,4.633333333333333,2.17,366.63333333333327
105,1998-04-01,67.0,162.53333333333333,5.5,12821.339,84.23103333333333,4.4,2.155,368.2
106,1998-07-01,67.06666666666666,163.36666666666665,5.533333333333333,12982.752,84.91123333333333,4.533333333333333,2.155,370.7
107,1998-10-01,67.16666666666666,164.13333333333333,4.86,13191.67,86.55956666666665,4.433333333333333,2.14,371.2
108,1999-01-01,67.13333333333333,164.73333333333332,4.7333333333333325,13315.597,87.71023333333333,4.3,2.129,376.96666666666664
109,1999-04-01,67.1,165.96666666666667,4.746666666666666,13426.748,88.725,4.266666666666667,2.124,378.96666666666664
110,1999-07-01,67.03333333333333,167.2,5.093333333333333,13604.771,89.43546666666666,4.2333333333333325,2.128,380.8
111,1999-10-01,67.06666666666666,168.4333333333333,5.306666666666667,13827.98,91.30426666666665,4.066666666666666,2.146,382.76666666666665
112,2000-01-01,67.3,170.1,5.676666666666667,13878.147,92.4007,4.033333333333333,2.135,392.5
113,2000-04-01,67.16666666666666,171.4333333333333,6.2733333333333325,14130.908,93.6217,3.9333333333333327,2.151,404.66666666666663
114,2000-07-01,66.9,173.0,6.52,14145.312,93.58986666666665,4.0,2.141,403.8666666666666
115,2000-10-01,66.9,174.23333333333332,6.473333333333333,14229.765,93.06976666666665,3.9,2.133,404.5333333333333
116,2001-01-01,67.16666666666666,175.9,5.593333333333333,14183.12,91.84616666666666,4.2333333333333325,2.085,420.8
117,2001-04-01,66.76666666666667,177.13333333333333,4.326666666666666,14271.694,90.5864,4.4,2.059,422.7
118,2001-07-01,66.7,177.63333333333333,3.4966666666666666,14214.516,89.1501,4.833333333333333,2.014,428.3666666666666
119,2001-10-01,66.7,177.5,2.1333333333333333,14253.574,88.2671,5.5,1.98,428.46666666666664
120,2002-01-01,66.63333333333333,178.06666666666666,1.7333333333333332,14372.785,89.16846666666666,5.7,1.969,442.8666666666666
121,2002-04-01,66.66666666666666,179.46666666666667,1.75,14460.848,90.59096666666666,5.833333333333333,1.972,445.5
122,2002-07-01,66.6,180.4333333333333,1.74,14519.633,91.3581,5.7333333333333325,1.953,448.06666666666666
123,2002-10-01,66.43333333333332,181.5,1.4433333333333331,14537.58,91.26616666666665,5.866666666666666,1.927,451.2
124,2003-01-01,66.36666666666666,183.36666666666665,1.25,14614.141,91.7551,5.866666666666666,1.915,458.13333333333327
125,2003-04-01,66.43333333333332,183.06666666666663,1.2466666666666666,14743.567,91.3233,6.133333333333333,1.901,463.1
126,2003-07-01,66.13333333333333,184.4333333333333,1.0166666666666666,14988.782,92.02006666666665,6.133333333333333,1.905,464.8
127,2003-10-01,66.03333333333333,185.13333333333333,0.9966666666666666,15162.76,93.07683333333331,5.833333333333333,1.94,468.16666666666663
128,2004-01-01,66.03333333333333,186.7,1.0033333333333332,15248.68,93.6907,5.7,1.95,479.66666666666663
129,2004-04-01,66.0,188.16666666666663,1.01,15366.85,94.43233333333332,5.6,1.94,484.8
130,2004-07-01,65.96666666666667,189.36666666666665,1.4333333333333331,15512.619,95.32783333333332,5.433333333333333,1.949,486.16666666666663
131,2004-10-01,65.93333333333332,191.4,1.95,15670.88,96.78956666666666,5.433333333333333,1.958,491.4
132,2005-01-01,65.86666666666666,192.36666666666665,2.47,15844.727,98.36886666666666,5.3,1.985,506.5
133,2005-04-01,66.1,193.66666666666663,2.9433333333333334,15922.782,99.0248333333333,5.1,1.995,512.8666666666667
134,2005-07-01,66.13333333333333,196.6,3.46,16047.587,98.91466666666666,4.966666666666667,2.0,514.0666666666666
135,2005-10-01,66.03333333333333,198.4333333333333,3.98,16136.734,100.4821,4.966666666666667,2.001,517.5
136,2006-01-01,66.1,199.46666666666664,4.456666666666666,16353.835,101.45163333333332,4.7333333333333325,2.016,538.0333333333333
137,2006-04-01,66.13333333333333,201.26666666666665,4.906666666666666,16396.151,101.64413333333331,4.633333333333333,2.017,543.6333333333333
138,2006-07-01,66.13333333333333,203.16666666666663,5.246666666666666,16420.738,102.10573333333332,4.633333333333333,2.006,546.1
139,2006-10-01,66.3,202.33333333333331,5.246666666666666,16561.866,102.58573333333332,4.433333333333333,1.997,548.6
140,2007-01-01,66.3,204.317,5.256666666666667,16611.69,103.863,4.5,1.993,568.3
141,2007-04-01,65.96666666666667,206.631,5.25,16713.314,105.3785,4.5,1.986,575.0333333333333
142,2007-07-01,65.93333333333332,207.939,5.073333333333332,16809.587,105.61916666666666,4.666666666666666,1.977,578.2333333333332
143,2007-10-01,65.93333333333332,210.48966666666664,4.496666666666666,16915.191,106.10186666666667,4.8,1.977,581.1
144,2008-01-01,66.1,212.76966666666664,3.1766666666666667,16843.003,105.54216666666666,5.0,1.939,597.3333333333333
145,2008-04-01,66.03333333333333,215.53766666666664,2.086666666666667,16943.291,103.2931,5.333333333333333,1.927,602.8666666666667
146,2008-07-01,66.06666666666666,218.861,1.94,16854.295,99.41206666666666,6.0,1.908,608.8666666666667
147,2008-10-01,65.9,213.84866666666665,0.5066666666666666,16485.35,93.38846666666666,6.866666666666666,1.813,613.1
148,2009-01-01,65.7,212.37766666666664,0.1833333333333333,16298.262,86.99393333333333,8.266666666666666,1.735,651.8666666666667
149,2009-04-01,65.7,213.507,0.18,16269.145,84.78413333333333,9.3,1.709,662.4333333333333
150,2009-07-01,65.33333333333333,215.344,0.1566666666666666,16326.281,86.80843333333333,9.633333333333331,1.711,667.9333333333333
151,2009-10-01,64.86666666666666,217.03,0.12,16502.754,88.33926666666666,9.933333333333332,1.726,675.6666666666666
152,2010-01-01,64.86666666666666,217.374,0.1333333333333333,16582.71,89.9676,9.83333333333333,1.739,678.8333333333333
153,2010-04-01,64.9,217.2973333333333,0.1933333333333333,16743.162,92.40773333333331,9.633333333333331,1.746,689.2666666666667
154,2010-07-01,64.63333333333333,217.9343333333333,0.1866666666666666,16872.266,93.47783333333331,9.466666666666665,1.748,693.6
155,2010-10-01,64.43333333333332,219.699,0.1866666666666666,16960.864,93.90626666666665,9.5,1.745,699.0
156,2011-01-01,64.16666666666666,222.04366666666664,0.1566666666666666,16920.632,94.7116,9.033333333333331,1.728,703.1333333333333
157,2011-04-01,64.1,224.56833333333333,0.0933333333333333,17035.114,94.6829,9.066666666666666,1.714,712.0333333333333
158,2011-07-01,64.1,226.03266666666664,0.0833333333333333,17031.313,95.67693333333331,9.0,1.656,716.0
159,2011-10-01,64.06666666666666,227.0473333333333,0.0733333333333333,17222.583,96.62153333333332,8.633333333333333,1.648,721.8333333333333
160,2012-01-01,63.766666666666666,228.326,0.1033333333333333,17367.01,98.01263333333331,8.266666666666666,1.642,753.2333333333332
161,2012-04-01,63.73333333333333,228.808,0.1533333333333333,17444.525,98.26746666666665,8.2,1.631,759.4
162,2012-07-01,63.6,229.841,0.1433333333333333,17469.65,98.0883,8.033333333333333,1.612,765.1333333333333
163,2012-10-01,63.7,231.36933333333332,0.16,17489.852,98.39953333333331,7.8,1.586,770.8333333333333
164,2013-01-01,63.46666666666666,232.29933333333332,0.1433333333333333,17662.4,99.1592,7.7333333333333325,1.583,790.0
165,2013-04-01,63.4,232.045,0.1166666666666666,17709.671,99.20333333333332,7.533333333333333,1.574,795.2
166,2013-07-01,63.266666666666666,233.3,0.0833333333333333,17860.45,99.16886666666666,7.2333333333333325,1.573,802.3
167,2013-10-01,62.9,234.16266666666664,0.0866666666666666,18016.147,99.61123333333332,6.933333333333333,1.565,808.6333333333333
168,2014-01-01,62.96666666666666,235.621,0.0733333333333333,17953.974,99.3352,6.666666666666666,1.542,824.8333333333333
169,2014-04-01,62.83333333333333,236.87233333333333,0.0933333333333333,18185.911,100.5421,6.2,1.548,831.6666666666665
170,2014-07-01,62.86666666666667,237.47833333333332,0.09,18406.941,100.97703333333332,6.066666666666666,1.553,836.4666666666666
171,2014-10-01,62.86666666666667,236.88833333333332,0.1,18500.031,101.1778,5.7,1.542,845.5666666666666
172,2015-01-01,62.73333333333333,235.355,0.11,18666.621,100.29853333333332,5.533333333333333,1.526,861.8333333333333
173,2015-04-01,62.8,236.96,0.1233333333333333,18782.243,100.10386666666666,5.433333333333333,1.528,868.5
174,2015-07-01,62.53333333333333,237.855,0.1366666666666666,18857.418,100.29116666666665,5.1,1.52,873.9333333333333
175,2015-10-01,62.56666666666666,237.837,0.16,18892.206,99.6138,5.033333333333333,1.502,882.9
176,2016-01-01,62.83333333333333,237.6893333333333,0.36,19001.69,99.51,4.9,1.476,886.0666666666666
177,2016-04-01,62.766666666666666,239.59033333333332,0.3733333333333333,19062.709,99.23076666666665,4.933333333333333,1.466,893.2
178,2016-07-01,62.86666666666667,240.60733333333332,0.3966666666666666,19197.938,99.26583333333332,4.9,1.457,899.4
179,2016-10-01,62.73333333333333,242.13466666666665,0.45,19304.352,99.40366666666665,4.766666666666667,1.45,907.2333333333331
180,2017-01-01,62.86666666666667,243.83866666666663,0.7,19398.343,99.42256666666665,4.566666666666666,1.444,916.3333333333331
181,2017-04-01,62.86666666666667,244.12,0.95,19506.949,100.20773333333332,4.366666666666666,1.437,922.0
182,2017-07-01,62.96666666666666,245.287,1.153333333333333,19660.766,99.68053333333332,4.333333333333333,1.441,929.3
183,2017-10-01,62.7,247.23833333333332,1.2033333333333331,19882.352,100.68916666666667,4.166666666666666,1.451,936.6666666666665
184,2018-01-01,62.86666666666667,249.32166666666663,1.4466666666666668,20044.077,100.81046666666666,4.033333333333333,1.461,960.6333333333331
185,2018-04-01,62.93333333333333,250.679,1.7366666666666668,20150.476,101.4882,3.9333333333333327,1.465,968.3333333333331
186,2018-07-01,62.8,251.68633333333332,1.9233333333333331,20276.154,101.9121,3.7666666666666666,1.467,976.8333333333331
187,2018-10-01,62.93333333333333,252.711,2.22,20304.874,101.48346666666666,3.8333333333333326,1.465,983.8666666666666
188,2019-01-01,63.06666666666666,253.414,2.4033333333333333,20415.15,100.31143333333333,3.8666666666666663,1.458,1019.1666666666666
189,2019-04-01,62.93333333333333,255.22,2.396666666666667,20584.528,99.49643333333331,3.633333333333333,1.46,1026.7333333333331
190,2019-07-01,63.133333333333326,256.085,2.19,20817.581,99.34253333333331,3.633333333333333,1.454,1034.3666666666666
191,2019-10-01,63.3,257.88766666666663,1.643333333333333,20951.088,98.82123333333331,3.6,1.438,1042.7
192,2020-01-01,63.06666666666666,258.803,1.26,20665.553,97.5507,3.8,1.391,1068.2
193,2020-04-01,60.8,256.31533333333334,0.06,19034.83,84.48476666666666,12.966666666666667,1.128,1075.1
194,2020-07-01,61.53333333333333,259.2393333333333,0.0933333333333333,20511.785,94.0808,8.833333333333332,1.176,1080.2666666666667
195,2020-10-01,61.56666666666666,261.0446666666666,0.09,20724.128,95.82156666666666,6.766666666666667,1.163,1088.1666666666665
196,2021-01-01,61.4,263.734,0.08,20990.541,95.81173333333331,6.2,1.153,1105.6666666666665
197,2021-04-01,61.6,268.55766666666665,0.07,21309.544,97.31693333333331,5.933333333333333,1.145,1109.6333333333332
198,2021-07-01,61.73333333333333,272.88733333333334,0.09,21483.083,98.14783333333331,5.133333333333333,1.144,1116.8666666666666
199,2021-10-01,61.9,278.70666666666665,0.08,21847.602,99.33746666666666,4.2,1.156,1126.2666666666667
200,2022-01-01,62.266666666666666,284.89366666666666,0.12,21738.871,100.10023333333332,3.8,1.158,1198.7
201,2022-04-01,62.23333333333333,291.53566666666666,0.77,21708.16,100.84053333333333,3.6,1.179,1207.0333333333333
202,2022-07-01,62.23333333333333,295.49566666666664,2.19,21851.134,100.93913333333332,3.566666666666667,1.202,1214.4333333333332
203,2022-10-01,62.23333333333333,298.525,3.653333333333333,21989.981,100.00706666666666,3.6,1.234,1225.8666666666666
204,2023-01-01,62.5,301.3306666666666,4.516666666666667,22112.329,99.9021,3.5,1.273,1340.0
205,2023-04-01,62.6,303.351,4.99,22225.35,100.14433333333332,3.566666666666667,1.302,1353.7666666666667
206,2023-07-01,62.73333333333333,306.0326666666666,5.26,22491.567,100.12936666666666,3.7,1.327,1361.3666666666666
